Crs & Sec,CRN,Title,Cred,Days,Time,Room,Instructor,Notes,Grad. Reqs.,Seats Left
CHE-220-B,20088,Intro to Analytical Chem +Lab,1,T,1:40 PM - 4:20 PM,WALL 235,Blauch D,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-230-A,20089,Intro to Biological Chem +Lab,1,M,1:30 PM - 4:20 PM,WALL 335,Myers J,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-230-B,20090,Intro to Biological Chem +Lab,1,T,1:40 PM - 4:20 PM,WALL 335,Myers J,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-240-A,20091,Intro to Inorganic Chem +Lab,1,W,1:30 PM - 4:20 PM,WALL 235,Anstey M,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-240-B,20092,Intro to Inorganic Chem +Lab,1,R,1:40 PM - 4:20 PM,WALL 235,Anstey M,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-250-A,20093,Intro to Organic Chem +Lab,1,M,1:30 PM - 4:20 PM,WALL 310,Key H,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-250-B,20094,Intro to Organic Chem +Lab,1,T,8:15 AM - 10:55 AM,WALL 310,Key H,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-250-C,20095,Intro to Organic Chem +Lab,1,T,1:40 PM - 4:20 PM,WALL 310,Snyder N; Alexander C,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-250-D,20096,Intro to Organic Chem +Lab,1,W,1:30 PM - 4:20 PM,WALL 310,Snyder N; Alexander C,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-350-A,20097,Experimtl Organic Chem +Lab,1,R,8:15 AM - 10:55 AM,WALL 310,Burde A,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-350-B,20098,Experimtl Organic Chem +Lab,1,R,1:40 PM - 4:20 PM,WALL 310,Burde A,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-350-C,20099,Experimtl Organic Chem +Lab,1,F,8:30 AM - 11:20 AM,WALL 310,Stevens E,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-350-D,20100,Experimtl Organic Chem +Lab,1,F,1:30 PM - 4:20 PM,WALL 310,Stevens E,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-360-A,20101,Quantm Chem & Spectroscopy+Lab,1,M,1:30 PM - 4:20 PM,WALL 351,Striplin D,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-360-B,20102,Quantm Chem & Spectroscopy+Lab,1,T,1:40 PM - 4:20 PM,WALL 351,Striplin D,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-375-A,20103,Organic Spectroscopy,1,MWF,12:30 PM - 1:20 PM,WALL 307,Burde A,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-395-H,20764,Literature Investigation,1,,,,Anstey M,,,25
CHE-396-A,20682,Laboratory Research I,1,,,,El-Zaatari B,,,25
CHE-396-B,20685,Lab Research I: Glycoscience,1,,,,Snyder N,,,25
CHE-396-C,20718,Biocatalysis Research,1,,,,Key H,,,25
CHE-396-D,20720,Chemical Ecology Research,1,,,,Key H,,,25
CHE-396-F,20740,Polymer Research,1,,,,El-Zaatari B,,,25
CHE-396-H,20765,Exploring Iron Catalysis II,1,,,,Anstey M,,,25
CHE-396-I,20766,Laboratory Research I,1,,,,Burde A,,,25
CHE-396-J,20822,Energy Research,1,,,,Striplin D,,,25
CHE-396-K,20826,Chemical Ecology Research,1,,,,Key H,,,25
CHE-396-L,20834,Carbon Dioxide Hydrogenation,1,,,,Anstey M,,,25
CHE-396-M,20850,Phosphorus Catalyst Research,1,,,,Anstey M,,,25
CHE-397-A,20679,Lab Research II: Glycoscience,1,,,,Snyder N,,,25
CHE-397-B,20680,Polymer Research,1,,,,El-Zaatari B,,,25
CHE-397-C,20719,Enzyme Engineering Research,1,,,,Key H,,,25
CHE-397-D,20762,Laboratory Research II,1,,,,Burde A,,,25
CHE-397-E,20770,Green Chemistry Research,1,,,,Burde A,,,25
CHE-430-A,20104,Sem in Biological Chemistry,1,TR,12:15 PM - 1:30 PM,CHAM 1096,Key H,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""XLST"",""description"":""Cross-listed; see course description for equivalent course (registration may be changed later if needed).""}]",,25
CHE-450-A,20541,Seminar in Organic Chemistry,1,MWF,11:30 AM - 12:20 PM,WALL 307,El-Zaatari B,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-495-A,20717,Biocatalysis Research IV,1,,,,Key H,,,25
CHE-496-A,20741,Senior Res. I: Glycoscience,1,,,,Snyder N,,,25
CHE-496-B,20823,Advance Inorganic Research,1,,,,Anstey M,,,25
CHE-497-A,20681,Senior Research II,1,,,,El-Zaatari B,,,25
CHE-497-B,20684,Polymer Research,1,,,,El-Zaatari B,,,25
CHE-497-C,20687,Senior Res. II: Glycoscience,1,,,,Snyder N,,,25
