Crs & Sec,CRN,Title,Cred,Days,Time,Room,Instructor,Notes,Grad. Reqs.,Seats Left,subject,course_number,section,credits,weekdays,start_time,end_time,building,room,enrolled,capacity,seats_remaining
THE-245-B,20499,Acting I,1,TR,2:30 PM - 4:20 PM,CUNN 100,Halliday S,,,,THE,245,B,1,TR,1430,1620,CUNN,100,,,25
THE-310-A,20500,Adv Leadrshp&Mgt in Arts,1,MWF,2:30 PM - 3:20 PM,CUNN 109,Henderson K,"[{""code"":""XLST"",""description"":""Cross-listed; see course description for equivalent course (registration may be changed later if needed).""}]",,,THE,310,A,1,MWF,1430,1520,CUNN,109,,,25
THE-345-A,20501,Acting II,1,MW,12:30 PM - 2:20 PM,CUNN 100,Costa A,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,,THE,345,A,1,MW,1230,1420,CUNN,100,,,25
THE-372-A,20502,August Wilson's Ten-Play Cycle,1,TR,12:15 PM - 1:30 PM,CHAM 1027,Webb J,,,,THE,372,A,1,TR,1215,1330,CHAM,1027,,,25
THE-397-A,20843,Technical Direction,1,,,,Akard A,,,,THE,397,A,1,,,,,,,,25
THE-410-A,20503,Advanced Theatre Making,1,MW,9:30 AM - 11:20 AM,CUNN 132,Costa A; Tripathi A,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,,THE,410,A,1,MW,0930,1120,CUNN,132,,,25
THE-498-A,20829,Honors Thesis,1,,,,Webb J,,,,THE,498,A,1,,,,,,,,25
WRI-101-A,20518,Writing with Gandhi,1,MWF,8:30 AM - 9:20 AM,CHAM 3196,Patel V,"[{""code"":""1"",""description"":""First-years only""},{""code"":""W"",""description"":""WRI courses are not available to students in Humanities or who have already met the composition requirement""}]",,,WRI,101,A,1,MWF,0830,0920,CHAM,3196,,,25
WRI-101-B,20519,Death,1,MWF,9:30 AM - 10:20 AM,CHAM 2234,Blum J,"[{""code"":""1"",""description"":""First-years only""},{""code"":""W"",""description"":""WRI courses are not available to students in Humanities or who have already met the composition requirement""}]",,,WRI,101,B,1,MWF,0930,1020,CHAM,2234,,,25
WRI-101-C,20520,#MeToo,1,TR,9:40 AM - 10:55 AM,CHAM 2209,Horowitz K,"[{""code"":""1"",""description"":""First-years only""},{""code"":""W"",""description"":""WRI courses are not available to students in Humanities or who have already met the composition requirement""}]",,,WRI,101,C,1,TR,0940,1055,CHAM,2209,,,25
WRI-101-CC,20617,Politics of Love,1,MW,8:05 AM - 9:20 AM,CHAM 2196,Gasparowicz N,"[{""code"":""1"",""description"":""First-years only""},{""code"":""W"",""description"":""WRI courses are not available to students in Humanities or who have already met the composition requirement""}]",,,WRI,101,CC,1,MW,0805,0920,CHAM,2196,,,25
WRI-101-E,20522,Here and There: Writing Place,1,MWF,10:30 AM - 11:20 AM,CHAM 1096,Norris M,"[{""code"":""1"",""description"":""First-years only""},{""code"":""W"",""description"":""WRI courses are not available to students in Humanities or who have already met the composition requirement""}]",,,WRI,101,E,1,MWF,1030,1120,CHAM,1096,,,25
WRI-101-G,20524,Bathing and Culture,1,MWF,11:30 AM - 12:20 PM,CHAM B027,Smith A,"[{""code"":""1"",""description"":""First-years only""},{""code"":""W"",""description"":""WRI courses are not available to students in Humanities or who have already met the composition requirement""}]",,,WRI,101,G,1,MWF,1130,1220,CHAM,B027,,,25
WRI-101-H,20525,Are Prisons Obsolete?,1,TR,12:15 PM - 1:30 PM,CHAM 1086,Vincent H,"[{""code"":""1"",""description"":""First-years only""},{""code"":""W"",""description"":""WRI courses are not available to students in Humanities or who have already met the composition requirement""}]",,,WRI,101,H,1,TR,1215,1330,CHAM,1086,,,25
WRI-101-I,20526,Claiming Disability,1,TR,12:15 PM - 1:30 PM,WATSON 109,Fox A,"[{""code"":""1"",""description"":""First-years only""},{""code"":""W"",""description"":""WRI courses are not available to students in Humanities or who have already met the composition requirement""}]",,,WRI,101,I,1,TR,1215,1330,WATSON,109,,,25
WRI-101-J,20527,Dark Academia,1,MWF,12:30 PM - 1:20 PM,CHAM 3196,Lee T,"[{""code"":""1"",""description"":""First-years only""},{""code"":""W"",""description"":""WRI courses are not available to students in Humanities or who have already met the composition requirement""}]",,,WRI,101,J,1,MWF,1230,1320,CHAM,3196,,,25
WRI-101-K,20528,Death,1,MWF,10:30 AM - 11:20 AM,CHAM 2234,Blum J,"[{""code"":""1"",""description"":""First-years only""},{""code"":""W"",""description"":""WRI courses are not available to students in Humanities or who have already met the composition requirement""}]",,,WRI,101,K,1,MWF,1030,1120,CHAM,2234,,,25
WRI-101-M,20530,"Mindfulness, Yoga and Qi",1,MWF,2:30 PM - 3:20 PM,CHAM 2187,Pang R,"[{""code"":""1"",""description"":""First-years only""},{""code"":""W"",""description"":""WRI courses are not available to students in Humanities or who have already met the composition requirement""}]",,,WRI,101,M,1,MWF,1430,1520,CHAM,2187,,,25
WRI-101-O,20532,Facebook Friends,1,MW,2:30 PM - 3:45 PM,CHAM HANCE,Heggestad J,"[{""code"":""1"",""description"":""First-years only""},{""code"":""W"",""description"":""WRI courses are not available to students in Humanities or who have already met the composition requirement""}]",,,WRI,101,O,1,MW,1430,1545,CHAM,HANCE,,,25
WRI-101-P,20531,"Nuclear Sci, Tech, & Policy",1,MWF,2:30 PM - 3:20 PM,DANA 153,Kuchera A,"[{""code"":""1"",""description"":""First-years only""},{""code"":""W"",""description"":""WRI courses are not available to students in Humanities or who have already met the composition requirement""}]",,,WRI,101,P,1,MWF,1430,1520,DANA,153,,,25
WRI-202-A,20559,Navigating Academic Genre,1,TR,12:15 PM - 1:30 PM,CHAM 1045,He F,,,,WRI,202,A,1,TR,1215,1330,CHAM,1045,,,25
WRI-302-A,20533,God and Evolution,1,MWF,12:30 PM - 1:20 PM,CHAM 2198,Blum J,,,,WRI,302,A,1,MWF,1230,1320,CHAM,2198,,,25
XPL-199-A,20534,High Impact Experiential Lrnin,1,F,1:30 PM - 4:20 PM,CHAM 2234,Riemer S,"[{""code"":""PRM"",""description"":""Permission of instructor required""},{""code"":""NA"",""description"":""Auditors Not Permitted""}]",,,XPL,199,A,1,F,1330,1620,CHAM,2234,,,25
